consensus_rank,display_name,position_group,apex_composite,apex_tier,matched_archetype,failure_mode_primary,eval_confidence,capital_base,capital_adjusted,divergence_flag,divergence_rank_delta
1,"Fernando Mendoza",QB,86.2,ELITE,"QB-1 Field General","FM-4 Body Breakdown","Tier A","R1 Picks 1-10","R1 Picks 1-10",ALIGNED,-1
2,"Arvell Reese",LB,70.0,DAY1,"ILB-3 Run-First Enforcer","FM-6 Role Mismatch","Tier A","R2 Mid–R3 Top","R2 Mid–R3 Top",APEX_LOW_PVC_STRUCTURAL,-31
3,"Caleb Downs",S,76.6,DAY1,"S-1 Centerfielder","FM-2 Scheme Ghost","Tier B","R1 Late / R2 Early -- scheme-confirmed landing spot required","R1 Late / R2 Early -- scheme-confirmed landing spot required",APEX_LOW,-10
4,"Jeremiyah Love",RB,61.5,DAY2,"RB-1 Elite Workhorse","FM-6 Role Mismatch","Tier A","R2 top | Floor: R2 late | Ceiling: R1 late (thin-class market)","R2 top | Floor: R2 late | Ceiling: R1 late (thin-class market)",APEX_LOW_PVC_STRUCTURAL,-82
5,"Rueben Bain",EDGE,78.4,DAY1,"EDGE-4 Athletic Dominator","FM-1 Athleticism Mirage","Tier B","R2 Top","R2 Top",ALIGNED,-2
6,"David Bailey",EDGE,88.7,ELITE,"EDGE-1 Every-Down Disruptor","FM-1 Athleticism Mirage","Tier A","R1 Picks 1-10","R1 Picks 1-10",ALIGNED,5
7,"Carnell Tate",WR,73.9,DAY1,"WR-1 Route Technician","FM-3 Processing Wall","Tier A","R2 Mid–R3 Top","R2 Mid–R3 Top",APEX_LOW_PVC_STRUCTURAL,-12
8,"Sonny Styles",LB,74.3,DAY1,"ILB-2 Coverage Eraser","FM-3 Processing Wall","Tier A","R2 Top","R2 Top",APEX_LOW_PVC_STRUCTURAL,-9
9,"Francis Mauigoa",OL,67.4,DAY2,"OG-1 Complete Interior Anchor","FM-6 Role Mismatch","Tier A",R3,R3,APEX_LOW_PVC_STRUCTURAL,-32
10,"Spencer Fano",OL,76.9,DAY1,"OT-1 Elite Athletic Anchor","FM-6 Role Mismatch","Tier A","R2 Top","R2 Top",ALIGNED,-1
11,"Mansoor Delane",CB,78.4,DAY1,"CB-3 Press Man Corner","FM-1 Athleticism Mirage","Tier B","R2 Top","R2 Top",ALIGNED,2
12,"Kenyon Sadiq",TE,66.2,DAY2,"TE-2 Mismatch Creator","FM-3 Processing Wall","Tier A",R3,R3,APEX_LOW_PVC_STRUCTURAL,-37
13,"Jordyn Tyson",WR,75.3,DAY1,"WR-6 Complete Outside Weapon","FM-1 Athleticism Mirage","Tier B","R2 Top","R2 Top",ALIGNED,-2
14,"Avieon Terrell",CB,78.4,DAY1,"CB-1 Anticipatory Lockdown","FM-1 Athleticism Mirage","Tier A","R2 Top","R2 Top",APEX_HIGH,6
15,"Jermod Mccoy",CB,81.6,DAY1,"CB-1 Anticipatory Lockdown","FM-4 Body Breakdown","Tier B","R1 Picks 12-22","R1 Picks 12-22",APEX_HIGH,12
16,"Monroe Freeling",OL,74.8,DAY1,"OT-1 Elite Athletic Anchor","FM-6 Role Mismatch","Tier A","R2 Top","R2 Top",ALIGNED,0
17,"Olaivavega Ioane",OL,65.4,DAY2,"OG-1 Complete Interior Anchor","FM-6 Role Mismatch","Tier A",R3,R3,APEX_LOW_PVC_STRUCTURAL,-39
18,"Denzel Boston",WR,66.4,DAY2,"WR-6 Complete Outside Weapon","FM-2 Scheme Ghost","Tier B",R3,R3,APEX_LOW_PVC_STRUCTURAL,-29
19,"Dillon Thieneman",S,76.7,DAY1,"S-3 Multiplier Safety","FM-6 Role Mismatch","Tier B","R2 Top","R2 Top",APEX_HIGH,7
20,"Kadyn Proctor",OL,65.9,DAY2,"OT-5 Raw Projection","FM-3 Processing Wall","Tier B",R3,R3,APEX_LOW_PVC_STRUCTURAL,-33
21,"Cashius Howell",EDGE,74.2,DAY1,"EDGE-3 Power-Counter Technician","FM-4 Body Breakdown","Tier B","R2 Top","R2 Top",ALIGNED,3
22,"Akheem Mesidor",EDGE,71.4,DAY1,"EDGE-4 Athletic Dominator","FM-1 Athleticism Mirage","Tier B","R2 Mid–R3 Top","R2 Mid–R3 Top",ALIGNED,-4
23,"Cj Allen",LB,66.7,DAY2,"ILB-2 Coverage Eraser","FM-4 Body Breakdown","Tier B",R3,R3,APEX_LOW_PVC_STRUCTURAL,-23
24,"Keldric Faulk",EDGE,79.3,DAY1,"EDGE-3 Power-Counter Technician","FM-4 Body Breakdown","Tier A","R2 Top","R2 Top",APEX_HIGH,18
25,"Caleb Lomu",OL,73.9,DAY1,"OT-1 Elite Athletic Anchor","FM-4 Body Breakdown","Tier A","R2 Mid–R3 Top","R2 Mid–R3 Top",ALIGNED,5
26,"KC Concepcion",WR,67.1,DAY2,"WR-5 Slot Architect","FM-2 Scheme Ghost","Tier B",R3,R3,APEX_LOW_PVC_STRUCTURAL,-17
27,"Kayden Mcdonald",DT,69.7,DAY2,"DT-2 Versatile Disruptor","FM-5 Motivation Cliff","Tier B","R2 Mid–R3 Top","R2 Mid–R3 Top",APEX_LOW_PVC_STRUCTURAL,-8
28,"Peter Woods",DT,71.4,DAY1,"DT-2 Versatile Disruptor","FM-4 Body Breakdown","Tier A","R2 Mid–R3 Top","R2 Mid–R3 Top",ALIGNED,3
